t [s],u [deg],y [deg],i [A],Finished_late
0.014000,-0.002350,-0.001221,0.000916,0.000000
0.014050,-0.001593,-0.003052,0.000000,0.000000
0.014100,-0.001430,-0.004883,0.008698,0.000000
0.014150,-0.001942,-0.012817,0.006104,0.000000
0.014200,-0.002972,-0.005493,-0.016174,0.000000
0.014250,-0.004189,0.003052,-0.047150,0.000000
0.014300,-0.005240,0.005493,-0.038300,0.000000
0.014350,-0.005904,-0.007324,0.011444,0.000000
0.014400,-0.006174,0.007324,-0.009308,0.000000
0.014450,-0.006210,-0.004272,-0.002899,0.000000
0.014500,-0.006176,0.011597,-0.002289,0.000000
0.014550,-0.006114,-0.009766,-0.008087,0.000000
0.014600,-0.005886,-0.005493,0.003052,0.000000
0.014650,-0.005254,-0.009155,-0.032959,0.000000
0.014700,-0.004046,-0.003052,-0.000153,0.000000
0.014750,-0.002320,-0.003052,0.000458,0.000000
0.014800,-0.000428,0.010986,-0.014038,0.000000
0.014850,0.001099,-0.006714,-0.016327,0.000000
0.014900,0.001835,-0.010376,-0.003967,0.000000
0.014950,0.001686,0.010986,-0.001526,0.000000
0.015000,0.000941,0.012817,-0.027008,0.000000
0.015050,0.000130,0.014648,-0.017548,0.000000
0.015100,-0.000267,0.007324,-0.004730,0.000000
0.015150,-0.000127,0.007324,-0.013885,0.000000
0.015200,0.000211,0.006714,-0.019531,0.000000
0.015250,0.000160,-0.000610,-0.011749,0.000000
0.015300,-0.000708,0.010376,-0.002441,0.000000
0.015350,-0.002308,0.000610,-0.005493,0.000000
0.015400,-0.004009,0.010376,0.013580,0.000000
0.015450,-0.004991,0.009155,-0.016785,0.000000
0.015500,-0.004725,0.003052,-0.021362,0.000000
0.015550,-0.003243,0.002441,-0.008087,0.000000
0.015600,-0.001084,-0.003662,-0.005188,0.000000
0.015650,0.001011,-0.001221,-0.015564,0.000000
0.015700,0.002458,0.003662,0.014191,0.000000
0.015750,0.003028,0.008545,-0.010986,0.000000
0.015800,0.002860,0.002441,0.019684,0.000000
0.015850,0.002326,-0.001831,-0.009613,0.000000
0.015900,0.001852,0.007324,-0.013123,0.000000
0.015950,0.001733,0.007935,-0.011597,0.000000
0.016000,0.001974,0.009155,-0.036621,0.000000
0.016050,0.002268,0.009766,-0.019531,0.000000
0.016100,0.002220,0.002441,-0.011597,0.000000
0.016150,0.001645,0.008545,-0.010834,0.000000
0.016200,0.000695,0.006714,-0.002136,0.000000
0.016250,-0.000264,-0.003052,-0.015411,0.000000
0.016300,-0.000832,0.005493,-0.015106,0.000000
0.016350,-0.000751,0.014038,-0.022278,0.000000
0.016400,-0.000080,-0.003662,-0.012665,0.000000
0.016450,0.000769,-0.007324,0.001984,0.000000
0.016500,0.001245,-0.009766,-0.003510,0.000000
0.016550,0.000983,-0.000610,-0.007172,0.000000
0.016600,-0.000030,0.014038,-0.007019,0.000000
0.016650,-0.001489,0.000000,-0.018005,0.000000
0.016700,-0.002953,0.009766,-0.021210,0.000000
0.016750,-0.004040,-0.000610,-0.011139,0.000000
0.016800,-0.004503,-0.001831,-0.007935,0.000000
0.016850,-0.004295,0.004883,-0.029602,0.000000
0.016900,-0.003638,0.000610,-0.010681,0.000000
0.016950,-0.003005,-0.014648,-0.000305,0.000000
0.017000,-0.002882,-0.011597,0.013733,0.000000
0.017050,-0.003423,0.001221,-0.016022,0.000000
0.017100,-0.004324,-0.006104,-0.000610,0.000000
