t [s],u [deg],y [deg],i [A],Finished_late
0.017000,-0.030676,0.001221,-0.159760,0.000000
0.017050,0.027797,-0.008545,-0.164642,0.000000
0.017100,0.062496,0.009766,0.066223,0.000000
0.017150,0.038634,-0.009155,0.249939,0.000000
0.017200,-0.015490,-0.007935,0.153046,0.000000
0.017250,-0.042690,0.007935,-0.102539,0.000000
0.017300,-0.019084,-0.001831,-0.310669,0.000000
0.017350,0.021818,0.025635,-0.189514,0.000000
0.017400,0.028156,0.025024,0.124512,0.000000
0.017450,-0.009869,0.007324,0.197449,0.000000
0.017500,-0.047664,-0.017700,0.076904,0.000000
0.017550,-0.040049,0.001831,-0.162048,0.000000
0.017600,0.003188,0.010986,-0.159149,0.000000
0.017650,0.031508,0.008545,0.026855,0.000000
0.017700,0.019260,-0.004883,0.204620,0.000000
0.017750,-0.005322,-0.010376,0.151672,0.000000
0.017800,-0.004676,-0.012817,-0.053406,0.000000
0.017850,0.015082,-0.001831,-0.133972,0.000000
0.017900,0.015977,0.007324,-0.050049,0.000000
0.017950,-0.014909,0.006104,0.042725,0.000000
0.018000,-0.042773,0.015869,-0.001678,0.000000
0.018050,-0.026397,0.007935,-0.113983,0.000000
0.018100,0.028539,0.018311,-0.102234,0.000000
0.018150,0.067215,0.001831,0.074158,0.000000
0.018200,0.039180,-0.003662,0.231323,0.000000
0.018250,-0.044814,-0.013428,0.145264,0.000000
0.018300,-0.111347,0.003052,-0.167694,0.000000
0.018350,-0.089050,0.019531,-0.388641,0.000000
0.018400,0.016822,0.028076,-0.316467,0.000000
0.018450,0.118074,-0.012817,0.172577,0.000000
0.018500,0.122243,-0.039673,0.540009,0.000000
0.018550,0.022733,-0.045776,0.469666,0.000000
0.018600,-0.090754,-0.021973,-0.091248,0.000000
0.018650,-0.114677,0.018921,-0.581207,0.000000
0.018700,-0.029957,0.039673,-0.615692,0.000000
0.018750,0.076969,0.045166,-0.104065,0.000000
0.018800,0.096140,0.009766,0.474396,0.000000
0.018850,0.007639,-0.031738,0.537720,0.000000
0.018900,-0.090583,-0.037231,0.066528,0.000000
0.018950,-0.085750,0.000000,-0.435791,0.000000
0.019000,0.018931,0.033569,-0.518646,0.000000
0.019050,0.102972,0.026245,0.003967,0.000000
0.019100,0.070817,-0.008545,0.458374,0.000000
0.019150,-0.033728,-0.028687,0.408783,0.000000
0.019200,-0.086298,-0.023193,-0.103455,0.000000
0.019250,-0.036799,0.014648,-0.517731,0.000000
0.019300,0.038994,0.040283,-0.305634,0.000000
0.019350,0.046205,0.014648,0.159912,0.000000
0.019400,-0.013294,-0.009155,0.404510,0.000000
0.019450,-0.056904,-0.018311,0.120392,0.000000
0.019500,-0.029102,0.003052,-0.200348,0.000000
0.019550,0.037915,0.017700,-0.256195,0.000000
0.019600,0.068344,0.012207,0.075226,0.000000
0.019650,0.027359,-0.007324,0.297699,0.000000
0.019700,-0.043723,-0.001831,0.163269,0.000000
0.019750,-0.071369,0.017090,-0.200958,0.000000
0.019800,-0.028379,0.015259,-0.364532,0.000000
0.019850,0.033785,0.012817,-0.153198,0.000000
0.019900,0.041143,0.001831,0.234222,0.000000
0.019950,-0.014822,-0.026855,0.324402,0.000000
0.020000,-0.064609,-0.020142,0.063171,0.000000
0.020050,-0.046174,-0.006714,-0.242767,0.000000
0.020100,0.017942,0.008545,-0.268555,0.000000
0.020150,0.052681,-0.001831,0.067291,0.000000
0.020200,0.027364,-0.009155,0.268097,0.000000
0.020250,-0.012921,-0.022583,0.164795,0.000000
0.020300,-0.017442,-0.012817,-0.109406,0.000000
0.020350,0.001971,0.007324,-0.219574,0.000000
0.020400,-0.002312,0.015869,-0.113678,0.000000
0.020450,-0.036482,0.016479,0.053101,0.000000
0.020500,-0.050217,0.006714,0.035400,0.000000
0.020550,-0.006622,-0.009766,-0.082703,0.000000
0.020600,0.057884,0.000000,-0.045776,0.000000
0.020650,0.066982,-0.001831,0.172272,0.000000
0.020700,-0.005409,-0.011597,0.253448,0.000000
0.020750,-0.096106,-0.010376,-0.006256,0.000000
0.020800,-0.111766,0.015259,-0.346680,0.000000
0.020850,-0.022688,0.021973,-0.433502,0.000000
0.020900,0.104002,0.009766,-0.072937,0.000000
0.020950,0.160193,-0.008545,0.465240,0.000000
0.021000,0.089434,-0.042725,0.616608,0.000000
0.021050,-0.059415,-0.029907,0.177612,0.000000
0.021100,-0.162697,0.015869,-0.426483,0.000000
0.021150,-0.124319,0.059204,-0.805511,0.000000
0.021200,0.027007,0.054321,-0.510864,0.000000
0.021250,0.146553,0.012207,0.279236,0.000000
0.021300,0.109875,-0.021362,0.810242,0.000000
0.021350,-0.047413,-0.052490,0.558929,0.000000
0.021400,-0.152865,-0.027466,-0.171814,0.000000
0.021450,-0.085527,0.021973,-0.794067,0.000000
0.021500,0.078944,0.050049,-0.575714,0.000000
0.021550,0.151169,0.017700,0.293884,0.000000
0.021600,0.051981,-0.028687,0.760651,0.000000
0.021650,-0.096064,-0.029907,0.346985,0.000000
0.021700,-0.123861,0.001831,-0.403442,0.000000
0.021750,-0.018983,0.032959,-0.749664,0.000000
0.021800,0.076347,0.036011,-0.254211,0.000000
0.021850,0.053137,-0.002441,0.491943,0.000000
0.021900,-0.039935,-0.040894,0.521240,0.000000
0.021950,-0.078274,-0.031128,-0.014801,0.000000
0.022000,-0.020847,-0.001221,-0.447388,0.000000
0.022050,0.054006,0.033569,-0.245667,0.000000
0.022100,0.056079,-0.004272,0.180969,0.000000
0.022150,-0.013563,-0.023193,0.366974,0.000000
0.022200,-0.074628,-0.021362,0.048065,0.000000
0.022250,-0.060660,0.004272,-0.325470,0.000000
0.022300,0.012688,0.006714,-0.341492,0.000000
0.022350,0.066790,0.004883,0.072784,0.000000
0.022400,0.043127,-0.008545,0.366211,0.000000
0.022450,-0.032278,-0.021362,0.269775,0.000000
0.022500,-0.073796,-0.020752,-0.148010,0.000000
0.022550,-0.031737,0.008545,-0.381470,0.000000
0.022600,0.047822,0.020142,-0.209961,0.000000
0.022650,0.075632,0.006714,0.207214,0.000000
0.022700,0.025541,-0.002441,0.357208,0.000000
0.022750,-0.038071,-0.015869,0.151672,0.000000
0.022800,-0.046390,0.015259,-0.240631,0.000000
0.022850,-0.011199,0.025024,-0.359344,0.000000
0.022900,0.003234,0.033569,-0.081635,0.000000
0.022950,-0.022313,0.000000,0.156555,0.000000
0.023000,-0.034593,-0.002441,0.118561,0.000000
0.023050,0.008997,-0.010376,-0.033264,0.000000
0.023100,0.064786,-0.014038,-0.024261,0.000000
0.023150,0.048725,-0.018921,0.135498,0.000000
0.023200,-0.047991,-0.004883,0.146790,0.000000
0.023250,-0.127444,-0.011597,-0.091553,0.000000
0.023300,-0.088993,0.025635,-0.434723,0.000000
0.023350,0.051703,0.013428,-0.345612,0.000000
0.023400,0.168125,-0.009766,0.205078,0.000000
0.023450,0.145610,-0.043335,0.643463,0.000000
0.023500,-0.008479,-0.052490,0.493622,0.000000
0.023550,-0.168211,0.000610,-0.186157,0.000000
0.023600,-0.194651,0.039062,-0.836182,0.000000
0.023650,-0.056348,0.067749,-0.804443,0.000000
0.023700,0.130419,0.031128,-0.040894,0.000000
0.023750,0.191112,-0.030518,0.739899,0.000000
0.023800,0.059332,-0.068970,0.960083,0.000000
0.023850,-0.136741,-0.057983,0.315552,0.000000
0.023900,-0.189246,0.010376,-0.720520,0.000000
0.023950,-0.037140,0.054321,-1.037598,0.000000
0.024000,0.150859,0.043945,-0.248108,0.000000
0.024050,0.160739,-0.001831,0.707397,0.000000
0.024100,-0.015002,-0.057373,0.902557,0.000000
0.024150,-0.167016,-0.034790,0.126038,0.000000
0.024200,-0.122690,0.006104,-0.833740,0.000000
0.024250,0.049410,0.054321,-0.805511,0.000000
0.024300,0.137069,0.023193,0.169830,0.000000
0.024350,0.049893,-0.031128,0.814514,0.000000
0.024400,-0.085516,-0.057373,0.480194,0.000000
0.024450,-0.101600,-0.004883,-0.316925,0.000000
0.024500,0.006479,0.030518,-0.646210,0.000000
0.024550,0.096986,0.033569,-0.238953,0.000000
0.024600,0.065915,-0.007935,0.479736,0.000000
0.024650,-0.040299,-0.012207,0.542603,0.000000
0.024700,-0.096738,0.004272,-0.129852,0.000000
0.024750,-0.044570,0.023804,-0.528564,0.000000
0.024800,0.054519,0.035400,-0.336609,0.000000
0.024850,0.092525,0.014038,0.208893,0.000000
0.024900,0.029463,-0.031738,0.514832,0.000000
0.024950,-0.065531,-0.021362,0.222473,0.000000
0.025000,-0.087798,-0.001831,-0.317993,0.000000
0.025050,-0.013347,0.018311,-0.478516,0.000000
0.025100,0.071079,0.023193,-0.158386,0.000000
0.025150,0.067817,-0.010376,0.292358,0.000000
0.025200,-0.015778,-0.026855,0.418549,0.000000
0.025250,-0.080318,-0.034180,0.030518,0.000000
0.025300,-0.060798,-0.001831,-0.392303,0.000000
0.025350,-0.000855,0.002441,-0.359344,0.000000
0.025400,0.019421,0.001831,0.024414,0.000000
0.025450,-0.004642,-0.017090,0.280914,0.000000
0.025500,-0.007823,-0.033569,0.168762,0.000000
0.025550,0.035694,-0.009766,-0.058746,0.000000
0.025600,0.061863,-0.016479,-0.018616,0.000000
0.025650,0.004735,-0.009155,0.063629,0.000000
0.025700,-0.095327,0.007935,0.015106,0.000000
