t (s),u (deg),y (deg)
0.028450,0.000000,-0.009766,-0.011292
0.028500,0.000000,-0.000610,-0.008850
0.028550,0.000000,0.003052,-0.007172
0.028600,0.000000,0.000000,-0.004425
0.028650,0.000000,-0.004883,-0.025330
0.028700,0.000000,-0.002441,-0.005798
0.028750,0.000000,0.010986,0.000000
0.028800,0.000000,0.013428,-0.030060
0.028850,0.000000,0.014038,-0.014343
0.028900,0.000000,-0.003662,-0.015259
0.028950,0.000000,0.002441,0.003967
0.029000,0.000000,-0.014648,0.004272
0.029050,0.000000,-0.001221,-0.022430
0.029100,0.000000,0.010986,-0.002441
0.029150,0.000000,-0.009766,0.006256
0.029200,0.000000,0.001831,-0.004272
0.029250,0.000000,-0.001831,-0.017700
0.029300,0.000000,-0.003052,-0.010986
0.029350,0.000000,0.001831,-0.019226
0.029400,0.000000,0.004272,-0.007629
0.029450,0.000000,-0.001221,-0.011292
0.029500,0.000000,-0.004272,0.003815
0.029550,0.000000,0.007324,-0.010376
0.029600,0.000000,-0.001221,0.006409
0.029650,0.000000,-0.001831,-0.022430
0.029700,0.000000,0.007935,-0.010681
0.029750,0.000000,0.004272,-0.009155
0.029800,0.000000,0.000610,-0.014648
0.029850,0.000000,0.015259,-0.024872
0.029900,0.000000,0.012817,-0.007324
0.029950,0.000000,-0.004272,-0.018158
0.030000,0.000000,0.003662,-0.000153
0.030050,0.000000,0.004883,-0.004578
0.030100,0.000000,0.007324,-0.001373
0.030150,0.000000,0.010376,-0.007019
0.030200,0.000000,-0.002441,-0.001678
0.030250,0.000000,0.003052,-0.021667
0.030300,0.000000,-0.005493,-0.001984
0.030350,0.000000,-0.009155,-0.006561
0.030400,0.000000,0.019531,-0.009003
0.030450,0.000000,0.001831,-0.009155
0.030500,0.000000,-0.003052,-0.003815
0.030550,0.000000,0.009155,-0.011444
0.030600,0.000000,-0.003052,0.001831
0.030650,0.000000,0.001831,-0.021210
0.030700,0.000000,0.005493,0.001373
0.030750,0.000000,-0.009155,-0.003815
0.030800,0.000000,-0.004883,-0.003052
0.030850,0.000000,-0.016479,-0.004425
0.030900,0.000000,0.001831,-0.003510
0.030950,0.000000,-0.002441,-0.001526
0.031000,0.000000,-0.001221,0.004272
0.031050,0.000000,0.004883,-0.037842
0.031100,0.000000,-0.001221,-0.015411
0.031150,0.000000,0.008545,-0.017090
0.031200,0.000000,-0.003662,0.010986
0.031250,0.000000,0.000000,0.000458
0.031300,0.000000,0.010376,-0.011749
0.031350,0.000000,0.009766,-0.029602
0.031400,0.000000,-0.005493,0.005341
0.031450,0.000000,0.000610,-0.025787
0.031500,0.000000,0.000610,-0.023499
0.031550,0.000000,0.004883,0.006866
0.031600,0.000000,0.001831,0.004730
0.031650,0.000000,0.002441,-0.012665
0.031700,0.000000,0.010986,-0.024109
0.031750,0.000000,0.006104,-0.013733
0.031800,0.000000,0.015869,-0.008850
0.031850,0.000000,0.001831,0.003204
0.031900,0.000000,0.004883,-0.024109
0.031950,0.000000,0.013428,-0.014343
0.032000,0.000000,0.016479,-0.009918
0.032050,0.000000,0.005493,-0.013580
0.032100,0.000000,0.004883,-0.009918
0.032150,0.000000,0.003052,0.005951
0.032200,0.000000,0.002441,0.002594
0.032250,0.000000,0.009766,-0.008087
0.032300,0.000000,0.001831,-0.017548
0.032350,0.000000,0.015259,-0.011749
0.032400,0.000000,-0.001221,-0.001373
0.032450,0.000000,0.007935,-0.025177
0.032500,0.000000,0.002441,-0.004730
0.032550,0.000000,0.002441,-0.020447
0.032600,0.000000,-0.000610,-0.022888
0.032650,0.000000,0.004272,0.002289
0.032700,0.000000,-0.014648,-0.007477
0.032750,0.000000,0.003662,0.013733
0.032800,0.000000,-0.003052,-0.005798
0.032850,0.000000,0.004272,0.001373
